x	error	n	n_error	u	u_error	Events
10.23	2.41	-16.32	2.59	-16.56	9.37	0.0
11.29	2.19	-15.84	2.26	-17.27	8.19	0.0
10.88	2.31	-15.35	2.39	-15.12	8.74	0.0
9.67	2.86	-16.56	3.04	-4.78	11.17	0.0
12.78	3.59	-18.1	3.77	-8.3	13.68	0.0
9.63	2.82	-16.0	2.98	-15.25	11.11	0.0
7.43	3.12	-13.8	3.24	-9.1	11.77	0.0
9.53	2.22	-15.33	2.35	-14.82	8.54	0.0
8.68	2.5	-17.22	2.65	-15.4	9.64	0.0
13.17	2.7	-19.17	2.97	-15.41	10.81	0.0
9.27	3.06	-13.04	3.39	-13.4	12.31	0.0
9.25	2.28	-15.21	2.46	-11.14	8.83	0.0
8.98	2.15	-14.78	2.37	-14.52	8.54	0.0
9.05	2.07	-15.57	2.31	-18.33	8.35	0.0
7.14	2.89	-13.35	3.24	-5.87	11.79	0.0
10.11	3.34	-13.99	3.75	0.99	13.61	0.0
8.23	2.37	-14.38	2.67	-13.45	9.69	0.0
9.68	2.2	-15.22	2.48	-7.26	8.98	0.0
9.04	2.52	-13.35	2.83	-8.78	10.3	0.0
10.21	3.06	-14.63	3.46	0.18	12.72	0.0
9.76	2.55	-13.74	2.8	-12.76	10.17	0.0
10.11	2.44	-14.02	2.77	-14.7	9.94	0.0
11.85	2.47	-16.24	2.69	-12.59	9.76	0.0
7.9	2.29	-14.0	2.51	-9.65	9.11	0.0
9.44	2.55	-15.42	2.82	-16.43	10.31	0.0
9.97	2.43	-12.85	2.7	-13.12	9.89	0.0
9.7	2.44	-13.78	2.65	-16.86	9.43	0.0
9.43	2.52	-12.65	2.78	-11.0	10.08	0.0
10.76	2.5	-13.08	2.79	-5.94	10.02	0.0
9.66	2.48	-13.57	2.74	-8.4	10.01	0.0
7.11	2.82	-11.67	3.16	-15.25	11.5	0.0
8.75	2.6	-13.52	2.9	-5.88	10.41	0.0
8.43	2.34	-13.57	2.63	-14.03	9.5	0.0
9.61	2.66	-12.2	3.0	-17.93	10.8	0.0
10.49	2.35	-14.1	2.62	-15.79	9.42	0.0
10.64	2.7	-12.59	2.98	-13.2	10.79	0.0
10.21	2.84	-12.49	3.16	-4.8	11.44	0.0
8.7	2.23	-11.44	2.47	-8.84	8.85	0.0
5.99	2.93	-10.54	3.31	-10.34	11.97	0.0
7.66	2.58	-10.51	2.91	2.08	10.52	0.0
8.73	2.33	-12.53	2.61	-7.88	9.41	0.0
11.63	2.83	-12.0	3.22	-12.54	11.67	0.0
7.44	3.34	-9.82	3.77	-5.42	13.52	0.0
6.82	2.09	-12.59	2.21	-1.78	7.81	0.0
7.8	1.88	-11.13	2.03	-5.8	7.31	0.0
7.13	2.47	-15.38	2.72	-12.41	9.67	0.0
7.49	2.85	-12.25	3.24	-4.82	11.69	0.0
6.67	2.99	-12.07	3.4	-11.73	12.23	0.0
8.68	2.38	-11.67	2.68	-8.56	9.66	0.0
7.66	2.34	-10.79	2.57	-10.04	9.16	0.0
8.06	2.63	-11.57	2.92	-1.74	10.66	0.0
11.97	2.22	-11.43	2.39	-9.33	8.57	0.0
7.75	2.12	-13.69	2.27	-17.46	8.15	0.0
8.13	3.18	-14.11	3.55	-6.13	12.95	0.0
9.43	2.78	-12.91	3.09	-8.36	11.46	0.0
9.78	2.74	-11.46	3.08	-11.87	11.32	0.0
8.19	2.04	-13.01	2.16	-13.68	7.86	0.0
5.59	2.1	-10.23	2.25	-7.36	8.16	0.0
10.56	2.07	-11.89	2.17	-5.5	7.85	0.0
9.82	2.08	-12.07	2.17	-7.26	7.82	0.0
9.83	1.83	-12.78	1.93	-7.74	7.07	0.0
7.5	2.59	-11.33	2.83	-5.73	10.35	0.0
9.96	2.49	-11.23	2.66	-5.51	9.64	0.0
10.44	2.12	-9.84	2.21	-5.98	8.0	0.0
9.88	1.9	-10.0	1.91	-10.05	7.03	0.0
7.92	1.66	-9.93	1.75	-7.74	6.29	0.0
8.99	1.67	-11.21	1.75	-11.95	6.26	0.0
9.91	1.67	-11.64	1.77	-15.65	6.33	0.0
9.01	1.6	-11.56	1.68	-6.22	6.02	0.0
8.44	1.68	-9.97	1.83	-8.48	6.54	0.0
7.53	1.81	-12.06	1.88	-2.48	6.64	0.0
9.01	2.99	-10.1	3.32	-2.97	11.89	0.0
6.96	2.7	-11.54	3.0	-7.1	10.76	0.0
8.6	2.47	-10.51	2.76	-1.78	9.82	0.0
8.29	2.84	-9.92	3.13	-10.82	11.32	0.0
9.53	1.94	-12.45	2.06	-11.35	7.18	0.0
10.33	2.89	-11.77	3.15	-10.96	11.16	0.0
10.07	3.21	-11.94	3.52	-15.31	12.38	0.0
10.16	2.6	-9.73	2.78	-2.94	9.97	0.0
10.95	2.61	-9.81	2.82	-3.85	10.21	0.0
7.47	3.5	-5.69	3.8	0.23	13.71	0.0
10.38	2.74	-10.61	2.98	-9.22	10.63	0.0
10.16	2.74	-10.28	2.97	-2.77	10.64	0.0
8.92	2.51	-8.17	2.72	-5.91	9.71	0.0
9.48	3.01	-12.46	3.28	-1.59	11.73	0.0
9.76	2.34	-11.23	2.54	-6.53	9.03	0.0
9.6	2.21	-8.94	2.37	-6.81	8.38	0.0
7.6	2.59	-8.87	2.86	-2.87	9.89	0.0
7.42	2.32	-10.27	2.48	-5.45	8.77	0.0
8.27	2.27	-8.95	2.43	-6.27	8.56	0.0
8.46	2.21	-9.67	2.36	-12.91	8.31	0.0
8.51	2.39	-7.77	2.54	-11.72	8.97	0.0
11.32	36.37	-7.77	27.59	-31.15	73.66	0.0
7.98	2.21	-8.93	2.31	-11.22	8.39	0.0
8.29	1.88	-9.98	1.95	-13.01	7.03	0.0
7.96	1.99	-9.67	2.04	-11.06	7.23	0.0
7.15	2.45	-10.78	2.54	-3.48	9.14	0.0
6.61	2.49	-9.47	2.59	-1.41	9.37	0.0
8.1	2.08	-9.17	2.17	-11.76	7.82	0.0
8.08	1.94	-9.52	2.0	-13.51	7.23	0.0
6.69	2.05	-8.22	2.08	-11.23	7.5	0.0
6.67	1.96	-9.05	1.98	-14.0	7.12	0.0
8.4	2.1	-9.34	2.14	-6.04	7.67	0.0
7.65	2.06	-7.46	2.09	-12.87	7.58	0.0
7.61	2.19	-8.37	2.22	-4.32	8.11	0.0
7.57	2.1	-8.65	2.14	-0.18	7.72	0.0
8.44	2.4	-7.47	2.46	2.85	8.96	0.0
7.61	2.04	-7.46	2.05	1.35	7.46	0.0
6.97	2.07	-7.86	2.08	-4.16	7.61	0.0
7.22	2.18	-8.42	2.18	-6.84	7.98	0.0
6.98	2.5	-6.83	2.44	1.27	8.94	0.0
6.71	2.78	-6.77	2.8	5.34	10.26	0.0
3.44	2.91	-6.64	2.91	-0.01	10.79	0.0
4.71	2.64	-9.04	2.66	-0.77	9.6	0.0
5.71	2.23	-7.63	2.24	-7.07	8.1	0.0
5.59	2.27	-7.08	2.27	-7.62	8.29	0.0
5.3	2.1	-6.16	2.1	-8.54	7.62	0.0
6.44	2.14	-7.83	2.16	-6.3	7.76	0.0
4.78	2.23	-6.53	2.25	-2.7	8.09	0.0
6.46	2.1	-6.51	2.13	-1.18	7.67	0.0
5.52	2.0	-7.07	2.02	-4.39	7.26	0.0
6.23	2.15	-6.9	2.18	-4.21	7.8	0.0
6.6	2.13	-6.34	2.18	-2.55	7.8	0.0
5.56	1.99	-6.05	2.01	-2.37	7.21	0.0
5.19	1.96	-6.63	1.99	-3.47	7.06	0.0
6.55	1.96	-6.78	2.01	-6.01	7.19	0.0
5.97	1.84	-6.86	1.88	-7.14	6.7	0.0
6.2	2.19	-5.02	2.28	-4.04	8.07	0.0
7.8	2.32	-5.74	2.3	-5.76	8.31	0.0
6.64	1.66	-6.91	1.63	-5.47	5.6	0.0
4.9	2.11	-4.39	2.11	-7.8	7.6	0.0
4.18	2.31	-4.77	2.28	1.83	8.18	0.0
3.69	3.23	-4.81	3.23	-2.28	11.69	0.0
4.59	2.86	-5.48	2.87	2.99	10.32	0.0
7.39	2.53	-6.98	2.53	-5.82	9.16	0.0
5.42	2.8	-7.52	2.8	-1.71	10.2	0.0
6.04	2.56	-5.54	2.56	-0.74	9.33	0.0
6.97	2.43	-5.4	2.45	-3.82	8.92	0.0
6.97	2.4	-4.47	2.42	-1.5	8.78	0.0
7.19	3.06	-6.41	3.09	-4.82	11.44	0.0
7.7	2.47	-6.05	2.46	-6.95	8.89	0.0
6.45	2.61	-4.43	2.66	-5.71	9.48	0.0
3.74	2.51	-3.58	2.51	0.4	9.07	0.0
1.16	2.64	-0.28	2.64	-0.4	9.65	0.0
4.95	3.16	-3.36	3.18	5.63	11.65	0.0
2.77	2.55	-3.42	2.56	-3.83	9.21	0.0
5.14	2.95	-2.38	3.0	-5.47	10.89	0.0
6.55	1.93	-4.59	1.94	-3.47	6.94	0.0
6.63	2.43	-5.06	2.45	0.25	8.91	0.0
9.39	3.33	-3.44	3.4	-3.64	12.4	0.0
5.64	2.92	-3.59	2.97	-1.7	10.9	0.0
5.01	2.24	-4.51	2.24	1.8	8.05	0.0
6.69	2.27	-5.1	2.27	1.91	8.3	0.0
5.09	2.34	-4.72	2.34	-4.32	8.58	0.0
6.82	2.04	-4.97	2.07	-5.04	7.43	0.0
5.96	1.97	-3.97	1.99	-3.7	7.15	0.0
5.91	2.08	-4.26	2.13	-3.04	7.71	0.0
6.63	2.41	-5.47	2.49	-5.75	9.01	0.0
6.88	2.08	-2.98	2.14	-1.77	7.67	0.0
6.84	2.54	-2.76	2.64	-2.41	9.44	0.0
5.79	2.96	-1.9	3.07	2.23	11.15	0.0
7.17	2.14	-2.91	2.19	-5.81	7.81	0.0
7.32	1.86	-3.88	1.91	-8.11	6.81	0.0
6.72	2.28	-2.86	2.41	-5.85	8.48	0.0
8.14	1.88	-3.63	1.96	-2.84	6.9	0.0
8.77	2.26	-2.8	2.34	-1.97	8.39	0.0
7.01	2.05	-2.57	2.14	-8.52	7.66	0.0
7.32	2.03	-3.83	2.11	-5.8	7.5	0.0
6.54	2.34	-1.4	2.46	6.35	8.68	0.0
6.77	2.69	-2.79	2.81	5.61	10.14	0.0
5.9	3.37	-2.18	3.53	-11.5	12.92	0.0
7.83	4.52	0.33	4.76	10.31	17.37	0.0
5.93	2.2	-0.9	2.36	36.23	8.27	0.0
5.45	1.84	-3.5	1.91	3.26	6.83	0.0
9.81	2.63	-4.26	2.76	-8.51	9.87	0.0
7.48	2.06	-3.26	2.16	6.53	7.65	0.0
6.36	3.47	-3.68	3.67	15.07	13.47	0.0
6.88	1.92	-2.36	2.01	6.19	7.11	0.0
7.06	1.93	-3.22	2.03	6.29	7.17	0.0
8.45	2.49	-2.81	2.65	4.71	9.4	0.0
7.05	2.43	-2.2	2.54	12.59	9.16	0.0
6.7	3.25	-3.48	3.41	1.02	12.52	0.0
6.27	2.46	-3.61	2.6	-0.57	9.19	0.0
10.31	2.61	-3.14	2.76	-0.47	9.84	0.0
7.87	2.5	-3.86	2.64	10.12	9.41	0.0
5.92	2.14	-3.17	2.22	8.79	7.8	0.0
6.0	2.79	-1.09	2.95	6.87	10.57	0.0
6.89	2.78	-1.99	2.94	13.13	10.47	0.0
7.38	2.44	-2.68	2.57	5.0	9.23	0.0
6.74	2.39	-1.5	2.51	15.85	8.91	0.0
5.86	2.57	-1.91	2.72	13.12	9.68	0.0
7.8	3.53	-0.38	3.72	8.54	13.57	0.0
8.19	4.0	-3.31	4.27	5.58	16.01	0.0
6.18	2.25	-3.02	2.41	2.39	8.77	0.0
5.51	2.15	-2.86	2.27	5.14	8.18	0.0
6.2	1.57	-3.19	1.69	-0.7	5.71	0.0
6.11	1.79	-1.7	1.89	6.85	6.67	0.0
5.73	1.96	-3.01	2.09	8.25	7.47	0.0
3.63	2.26	-4.13	2.45	8.95	8.67	0.0
5.54	1.94	-2.4	2.1	1.25	7.38	0.0
5.45	2.04	-2.57	2.18	2.08	7.71	0.0
6.69	2.13	-2.4	2.28	-0.54	8.06	0.0
7.01	1.95	-2.14	2.08	1.48	7.32	0.0
4.68	2.35	-2.38	2.52	6.22	9.04	0.0
7.12	2.36	-2.59	2.53	2.57	9.01	0.0
6.51	1.96	-2.67	2.1	5.98	7.39	0.0
5.68	2.46	-2.66	2.65	11.54	9.56	0.0
7.8	1.85	-0.2	1.98	13.8	6.98	0.0
6.83	1.75	1.35	1.87	11.92	6.46	0.0
8.21	1.68	-1.13	1.81	5.91	6.35	0.0
9.74	1.65	-1.89	1.78	2.57	6.16	0.0
8.12	1.61	-2.78	1.73	3.22	5.89	0.0
8.95	2.33	-2.38	2.52	6.43	8.91	0.0
6.93	2.22	-0.78	2.43	5.56	8.4	0.0
6.37	2.57	-0.54	2.79	5.64	9.92	0.0
10.67	2.45	-1.38	2.61	12.17	9.25	0.0
5.89	2.48	0.39	2.67	4.16	9.43	0.0
6.97	2.15	-2.19	2.34	5.22	8.27	0.0
6.6	2.15	-1.07	2.33	4.11	8.27	0.0
6.64	2.03	-2.2	2.2	5.41	7.8	0.0
7.77	1.81	-0.42	1.94	-0.66	6.81	0.0
8.17	1.86	-0.69	2.01	7.98	7.02	0.0
8.55	1.76	0.13	1.9	4.33	6.57	0.0
6.84	1.85	-0.81	1.99	1.91	6.94	0.0
8.27	1.93	-1.33	2.1	0.28	7.39	0.0
6.94	1.74	-0.48	1.86	3.74	6.43	0.0
4.44	1.51	-0.89	1.56	4.21	5.28	0.0
8.03	1.82	-2.26	1.98	2.41	6.92	0.0
6.18	2.04	0.02	2.2	7.51	7.72	0.0
5.02	2.39	-2.16	2.58	7.82	9.12	0.0
4.92	1.93	-1.08	2.1	8.09	7.19	0.0
5.43	1.36	-1.14	1.41	4.25	4.71	0.0
5.08	2.42	0.55	2.6	4.08	9.1	0.0
4.62	2.1	0.65	2.24	9.56	7.76	0.0
5.93	2.1	1.11	2.23	11.4	7.8	0.0
4.55	1.46	-0.27	1.51	0.8	5.21	0.0
5.82	1.47	0.13	1.52	8.26	5.17	0.0
4.23	1.82	1.35	1.87	13.6	6.4	0.0
4.26	2.42	-0.43	2.6	3.27	9.22	0.0
3.76	2.21	-1.18	2.34	5.93	8.3	0.0
5.8	1.76	0.7	1.85	5.01	6.48	0.0
6.2	1.96	0.56	2.08	3.72	7.32	0.0
3.93	2.06	0.95	2.18	10.66	7.74	0.0
4.85	1.9	1.69	2.02	3.97	7.03	0.0
5.42	2.02	1.57	2.15	0.56	7.56	0.0
6.08	2.01	0.07	2.17	2.71	7.62	0.0
3.75	2.48	3.73	2.7	1.72	9.49	0.0
1.85	4.17	1.29	4.52	-4.2	16.52	0.0
5.77	1.62	0.53	1.66	6.68	5.95	0.0
1.88	2.2	1.69	2.37	1.51	8.34	0.0
5.35	1.45	1.91	1.51	8.43	5.27	0.0
3.93	1.92	1.61	2.07	4.48	7.27	0.0
4.21	1.74	1.18	1.88	4.83	6.64	0.0
4.17	1.63	1.22	1.77	8.68	6.28	0.0
3.11	1.73	0.89	1.86	6.14	6.61	0.0
1.48	1.73	0.86	1.85	2.26	6.55	0.0
4.82	1.73	0.37	1.87	3.11	6.6	0.0
5.56	1.82	2.82	1.97	2.29	7.01	0.0
5.12	1.83	1.68	1.97	10.25	7.06	0.0
4.16	2.77	3.0	3.04	3.39	10.93	0.0
4.2	2.62	3.5	2.87	5.61	10.2	0.0
3.75	2.02	1.63	2.17	1.61	7.74	0.0
5.25	1.9	2.17	2.03	1.53	7.19	0.0
5.33	1.7	2.09	1.82	6.36	6.45	0.0
6.21	1.68	2.1	1.8	4.03	6.41	0.0
5.02	1.82	1.15	1.93	3.09	6.82	0.0
1.91	1.84	2.26	1.94	5.17	6.99	0.0
3.97	2.28	1.82	2.42	9.69	8.74	0.0
5.1	2.07	1.54	2.18	3.95	7.77	0.0
5.6	2.95	1.27	3.13	7.31	11.27	0.0
6.54	2.09	0.66	2.17	0.06	7.79	0.0
4.51	2.31	1.67	2.4	1.86	8.63	0.0
5.22	1.78	0.63	1.81	0.06	6.46	0.0
4.91	1.95	2.14	1.99	1.54	7.15	0.0
4.07	2.41	3.02	2.48	7.44	8.89	0.0
4.63	1.8	3.48	1.8	-0.61	6.39	0.0
6.23	2.87	2.51	2.88	5.51	10.43	0.0
4.76	2.78	1.78	2.76	-3.92	9.96	0.0
3.07	2.48	1.11	2.56	-2.94	9.15	0.0
2.83	3.03	3.57	3.11	-1.14	11.28	0.0
0.22	2.87	1.96	2.92	8.14	10.61	0.0
3.83	2.85	3.73	2.91	6.07	10.73	0.0
4.63	1.93	3.81	1.94	-3.42	7.08	0.0
5.21	2.48	2.29	2.49	3.68	9.01	0.0
0.7	3.24	4.9	3.33	6.28	12.07	0.0
7.67	2.87	5.03	2.92	18.0	10.79	0.0
7.47	3.19	9.1	3.26	4.35	11.83	0.0
4.12	2.61	1.66	2.64	-1.61	9.6	0.0
3.58	2.98	4.69	3.04	-1.63	10.92	0.0
0.53	2.85	2.76	2.89	-3.64	10.45	0.0
2.51	2.57	2.36	2.59	6.78	9.35	0.0
3.18	2.02	3.6	2.0	0.26	7.2	0.0
3.55	1.8	3.15	1.82	-1.2	6.48	0.0
3.78	1.8	3.08	1.81	0.62	6.47	0.0
5.01	2.02	3.58	2.06	-3.32	7.38	0.0
5.15	1.98	5.16	2.01	-3.83	7.17	0.0
4.47	2.01	3.89	2.04	1.2	7.24	0.0
3.86	2.07	3.09	2.1	3.31	7.55	0.0
5.87	2.59	1.45	2.68	3.45	9.59	0.0
1.16	2.49	2.37	2.55	0.33	9.1	0.0
2.38	2.23	2.8	2.32	8.2	8.17	0.0
4.38	1.98	5.38	2.02	5.52	7.18	0.0
3.6	1.77	4.3	1.81	-4.66	6.41	0.0
3.85	1.85	4.02	1.91	2.37	6.73	0.0
3.6	1.82	4.03	1.86	-1.87	6.66	0.0
4.76	1.82	2.46	1.88	-0.3	6.79	0.0
3.17	1.85	3.9	1.93	-0.25	6.88	0.0
4.65	2.17	4.58	2.29	3.93	8.19	0.0
3.22	2.43	4.43	2.5	8.0	8.98	0.0
5.13	2.4	4.61	2.44	1.04	8.84	0.0
2.75	2.25	5.43	2.3	-0.53	8.25	0.0
2.88	2.33	5.06	2.41	3.79	8.69	0.0
3.81	1.83	4.56	1.89	2.83	6.76	0.0
3.88	1.91	4.68	1.95	8.02	7.01	0.0
4.1	2.37	5.73	2.46	2.4	8.89	0.0
4.23	2.06	6.33	2.12	-1.54	7.68	0.0
3.36	1.87	3.85	1.91	5.59	6.83	0.0
3.54	1.72	5.73	1.75	0.27	6.25	0.0
4.39	1.99	5.07	2.05	6.19	7.34	0.0
6.02	1.6	6.92	1.65	5.72	5.83	0.0
2.63	1.69	5.09	1.76	2.46	6.34	0.0
2.65	2.41	6.45	2.49	3.14	8.96	0.0
2.71	2.13	4.59	2.21	3.6	8.04	0.0
3.78	2.21	4.44	2.31	0.62	8.35	0.0
4.09	2.36	4.36	2.46	0.79	8.78	0.0
3.61	1.72	3.43	1.79	-2.66	6.42	0.0
3.06	1.99	4.36	2.04	6.96	7.32	0.0
3.22	2.5	3.71	2.6	-5.86	9.44	0.0
5.08	2.04	5.84	2.13	-1.28	7.64	0.0
4.52	1.16	4.4	1.18	0.4	4.1	0.0
2.85	1.9	5.36	1.97	0.88	7.1	0.0
3.25	1.34	5.73	1.38	2.87	4.91	0.0
4.02	1.6	6.02	1.66	2.98	5.91	0.0
2.37	1.8	5.07	1.88	-1.72	6.75	0.0
3.51	1.71	5.54	1.79	2.7	6.43	0.0
3.52	1.78	5.68	1.85	1.9	6.64	0.0
3.92	1.02	6.36	1.05	-3.76	3.64	0.0
3.78	1.36	6.72	1.4	1.31	5.01	0.0
4.67	1.43	6.21	1.5	-1.37	5.28	0.0
4.2	1.51	4.44	1.58	-4.94	5.54	0.0
4.33	1.47	5.55	1.55	0.64	5.49	0.0
5.24	2.43	7.79	2.61	-10.21	9.29	0.0
2.42	1.35	5.49	1.43	-1.83	5.0	0.0
4.81	3.01	6.12	3.24	-4.86	11.8	0.0
4.33	2.3	7.91	2.47	4.59	8.92	0.0
4.42	2.73	6.0	2.95	2.51	10.57	0.0
-1.3	1.71	7.56	1.84	-0.43	6.46	0.0
0.88	2.44	3.95	2.64	1.26	9.42	0.0
3.25	2.21	6.65	2.38	3.04	8.45	0.0
2.99	1.72	7.07	1.85	5.75	6.59	0.0
2.99	1.96	7.44	2.12	6.15	7.5	0.0
1.18	1.38	8.24	1.46	2.24	5.15	0.0
0.97	1.31	8.35	1.37	0.17	4.8	0.0
0.57	1.76	6.0	1.88	-1.45	6.62	0.0
1.05	1.72	7.28	1.82	1.9	6.41	0.0
1.56	1.89	7.15	2.01	1.87	7.05	0.0
1.77	1.99	7.17	2.12	1.87	7.45	0.0
2.42	1.84	8.14	1.92	-3.5	6.78	0.0
1.8	1.65	8.08	1.75	0.9	6.13	0.0
1.87	1.74	6.65	1.86	-0.59	6.55	0.0
3.38	1.84	8.97	1.96	0.18	6.89	0.0
-1.48	2.17	9.61	2.39	-8.08	8.34	0.0
0.81	1.79	8.46	1.89	1.9	6.61	0.0
-0.12	1.85	7.84	1.97	1.92	6.97	0.0
2.56	1.77	9.34	1.93	6.34	6.73	0.0
0.98	1.69	8.04	1.75	-0.17	6.1	0.0
0.74	1.65	7.85	1.7	-3.46	5.97	0.0
0.98	1.74	7.65	1.8	-1.49	6.35	0.0
-0.65	1.68	8.15	1.81	-2.15	6.5	0.0
1.88	1.72	8.02	1.79	-3.99	6.32	0.0
0.97	1.95	7.32	2.07	0.94	7.37	0.0
-1.28	2.46	9.9	2.57	-1.85	9.18	0.0
-1.49	2.06	8.9	2.17	5.52	7.7	0.0
1.99	1.82	9.13	1.95	2.88	6.93	0.0
0.58	1.66	8.04	1.78	0.77	6.29	0.0
0.98	2.03	8.79	2.1	5.25	7.33	0.0
1.08	2.02	8.82	2.1	-2.56	7.25	0.0
0.71	1.9	9.29	2.03	0.24	7.07	0.0
0.7	1.68	9.69	1.83	1.19	6.39	0.0
0.03	1.93	9.62	2.1	-0.93	7.4	0.0
0.07	1.64	8.6	1.77	-1.68	6.24	0.0
0.25	1.73	10.01	1.88	2.18	6.62	0.0
0.9	1.8	9.22	1.97	-0.01	6.93	0.0
0.16	1.83	9.07	1.99	-3.2	7.01	0.0
0.65	1.75	8.35	1.94	-0.17	6.74	0.0
0.96	1.61	9.88	1.78	1.51	6.17	0.0
0.32	1.8	9.9	2.0	-0.84	6.97	0.0
0.88	1.64	10.35	1.82	2.0	6.32	0.0
-0.21	1.65	9.52	1.81	3.31	6.34	0.0
1.05	1.72	9.37	1.9	7.4	6.66	0.0
-1.09	1.69	10.07	1.84	7.19	6.38	0.0
-0.34	1.7	9.45	1.93	1.47	6.71	0.0
-0.56	1.7	10.15	1.89	-4.96	6.59	0.0
1.01	1.7	9.95	1.88	4.05	6.54	0.0
0.23	1.83	10.28	2.02	5.92	7.04	0.0
0.13	2.47	12.63	2.76	4.91	9.69	0.0
1.26	2.08	11.16	2.22	2.8	7.86	0.0
0.56	1.92	11.38	2.14	2.92	7.38	0.0
-0.42	1.73	11.2	1.89	-1.87	6.65	0.0
0.1	1.69	9.94	1.84	-2.22	6.48	0.0
-0.23	1.66	10.39	1.81	0.42	6.41	0.0
0.27	1.62	11.18	1.76	-1.37	6.22	0.0
0.32	1.61	10.63	1.73	0.66	6.12	0.0
0.11	1.6	11.33	1.73	2.82	6.04	0.0
0.34	1.67	12.09	1.76	2.04	6.22	0.0
1.19	1.89	11.44	2.02	3.22	7.22	0.0
1.81	1.71	11.51	1.79	3.81	6.34	0.0
-1.57	2.32	13.11	2.49	7.35	8.84	0.0
-0.22	2.2	11.57	2.35	3.22	8.43	0.0
1.13	2.13	11.16	2.29	3.06	8.21	0.0
-0.4	2.01	10.51	2.14	4.67	7.51	0.0
-0.49	2.2	11.17	2.36	2.1	8.4	0.0
0.04	2.03	10.7	2.16	0.76	7.67	0.0
0.19	2.03	12.45	2.16	6.61	7.67	0.0
1.03	1.91	12.51	2.03	-1.81	7.23	0.0
-0.19	2.16	12.76	2.32	11.75	8.22	0.0
1.25	1.98	10.55	2.14	-1.41	7.61	0.0
2.37	1.64	11.95	1.79	5.38	6.35	0.0
1.09	1.94	12.36	2.04	5.08	7.21	0.0
1.18	1.71	13.08	1.81	6.59	6.45	0.0
0.08	2.04	12.29	2.16	10.53	7.69	0.0
4.34	2.04	10.83	2.21	7.84	7.84	0.0
1.08	1.72	12.69	1.76	3.87	6.24	0.0
0.09	1.82	12.93	1.87	7.33	6.59	0.0
1.75	1.9	13.62	1.98	-0.29	6.97	0.0
2.21	1.9	12.56	1.99	1.53	7.04	0.0
1.4	1.73	12.76	1.87	4.98	6.66	0.0
1.35	1.98	13.8	2.1	6.63	7.45	0.0
2.65	2.13	10.44	2.26	8.7	8.0	0.0
1.59	2.89	12.21	3.08	13.59	10.99	0.0
3.0	2.04	13.43	2.16	6.22	7.58	0.0
3.01	1.87	13.2	1.96	7.09	6.99	0.0
3.47	2.0	12.12	2.05	4.15	7.29	0.0
4.02	2.06	11.77	2.11	3.51	7.46	0.0
2.61	2.01	11.59	2.06	1.62	7.24	0.0
2.95	1.8	12.71	1.85	0.11	6.49	0.0
4.61	2.25	14.07	2.38	4.8	8.49	0.0
2.97	2.23	13.63	2.33	6.23	8.17	0.0
2.24	1.88	13.12	1.99	5.89	7.07	0.0
3.14	2.41	13.95	2.6	1.64	9.34	0.0
1.14	2.22	15.95	2.36	7.2	8.38	0.0
1.43	2.27	15.41	2.43	-4.62	8.58	0.0
2.22	2.1	14.4	2.17	-0.03	7.69	0.0
3.69	2.54	15.0	2.61	6.63	9.37	0.0
2.07	2.26	16.14	2.37	7.15	8.48	0.0
2.42	2.02	14.54	2.05	4.78	7.27	0.0
3.32	2.09	13.68	2.09	7.61	7.47	0.0
2.42	2.05	14.56	2.09	7.39	7.53	0.0
1.91	2.23	13.75	2.29	2.64	8.21	0.0
2.47	1.99	14.04	1.98	6.75	7.12	0.0
1.64	2.27	14.73	2.23	10.35	8.11	0.0
0.57	2.14	13.0	2.09	15.12	7.62	0.0
1.88	2.37	14.57	2.33	9.26	8.54	0.0
0.93	1.98	15.25	1.94	3.69	7.06	0.0
0.96	1.87	14.04	1.82	7.59	6.63	0.0
0.05	2.15	12.78	2.11	9.57	7.7	0.0
1.25	2.01	14.55	1.97	9.25	7.15	0.0
1.26	2.15	15.82	2.07	10.55	7.56	0.0
1.45	3.18	15.22	3.07	9.68	11.46	0.0
1.64	3.34	19.82	3.23	9.83	11.93	0.0
2.06	2.85	16.7	2.76	13.34	10.11	0.0
-0.7	2.08	20.96	1.97	12.07	7.24	0.0
1.03	2.0	16.41	1.93	3.47	6.99	0.0
0.32	1.98	14.92	1.91	6.48	6.85	0.0
1.41	2.03	13.69	1.96	9.11	7.1	0.0
-0.34	2.24	15.86	2.18	11.01	7.84	0.0
-2.91	2.71	15.0	2.7	4.31	9.86	0.0
0.41	1.97	15.64	1.9	1.92	6.83	0.0
0.89	2.01	15.94	1.94	2.5	6.96	0.0
-0.09	2.26	15.82	2.21	5.44	7.96	0.0
-0.09	2.13	15.67	2.06	7.14	7.47	0.0
1.18	2.03	16.14	1.98	3.85	7.08	0.0
-1.59	2.67	17.31	2.61	4.3	9.4	0.0
-0.48	2.47	15.62	2.35	5.94	8.46	0.0
-1.95	2.45	17.41	2.39	4.29	8.64	0.0
0.2	2.23	16.54	2.18	6.17	7.75	0.0
0.67	2.11	17.57	2.06	1.28	7.37	0.0
-0.82	2.67	15.16	2.63	16.93	9.45	0.0
-0.72	3.03	17.51	3.03	13.59	10.92	0.0
0.39	2.34	16.85	2.32	12.27	8.34	0.0
-0.93	3.03	17.4	3.0	3.8	10.93	0.0
-0.03	2.19	16.87	2.17	3.44	7.73	1.0
